date,demand_quantity
2021-01-01,54609.49281314914
2021-01-02,36208.63648649295
2021-01-03,77784.17276763407
2021-01-04,76481.81360421646
2021-01-05,52305.87658918292
2021-01-06,57098.56436860317
2021-01-07,41565.68706138541
2021-01-08,81995.500619844
2021-01-09,71041.91466404148
2021-01-10,31787.17080818402
2021-01-11,32735.09633866546
2021-01-12,32855.44553254065
2021-01-13,55420.934082626205
2021-01-14,48883.311263507494
2021-01-15,48368.597773147136
2021-01-16,40225.99478591274
2021-01-17,69003.66723779934
2021-01-18,67378.93368511106
2021-01-19,59444.432628854185
2021-01-20,54441.80415596864
2021-01-21,52796.814721541414
2021-01-22,30193.150803735854
2021-01-23,62328.53756562836
2021-01-24,43690.320158519615
2021-01-25,78451.89473980921
2021-01-26,47794.13927746792
2021-01-27,51454.93947489077
2021-01-28,64633.17690683539
2021-01-29,67371.66310250101
2021-01-30,51137.068372905895
2021-01-31,62192.931782584405
2021-02-01,62381.245234820446
2021-02-02,62744.03145531537
2021-02-03,51305.706023572566
2021-02-04,52618.66719247759
2021-02-05,51961.10865929137
2021-02-06,55154.27434352692
2021-02-07,39799.62917632264
2021-02-08,65486.97890826721
2021-02-09,55355.23228947571
2021-02-10,46211.4777291026
2021-02-11,53132.95392507133
2021-02-12,31537.03525349067
2021-02-13,46447.72089889987
2021-02-14,63731.03176553111
2021-02-15,54454.77009849779
2021-02-16,40659.50720269109
2021-02-17,63493.99813149876
2021-02-18,54931.266644895266
2021-02-19,28278.734877540137
2021-02-20,36379.638867181835
2021-02-21,62202.758260545044
2021-02-22,54523.210135004185
2021-02-23,42395.85236943305
2021-02-24,42934.425415725156
2021-02-25,51494.77047631462
2021-02-26,44220.2960470736
2021-02-27,45670.120416197926
2021-02-28,57107.49381367681
2021-03-01,28972.234058115788
2021-03-02,43048.734607813065
2021-03-03,41505.53405595842
2021-03-04,47926.03548243223
2021-03-05,61278.99549030161
2021-03-06,39044.50052424295
2021-03-07,37142.63665375576
2021-03-08,59385.01021647509
2021-03-09,19622.861200135892
2021-03-10,42875.82033258566
2021-03-11,37298.094228973925
2021-03-12,53411.899019061944
2021-03-13,45345.99865109816
2021-03-14,53211.40616195306
2021-03-15,40974.40081655905
2021-03-16,56025.67583148412
2021-03-17,42957.88421097572
2021-03-18,65464.99283743926
2021-03-19,28628.77720679815
2021-03-20,50873.13077669
2021-03-21,47215.115350042746
2021-03-22,44982.481462385775
2021-03-23,72845.44784612038
2021-03-24,36657.28355561715
2021-03-25,35932.62440127316
2021-03-26,90802.53749884429
2021-03-27,54150.36198995029
2021-03-28,57725.715294590715
2021-03-29,49797.541628930994
2021-03-30,39842.574327318325
2021-03-31,46648.05822011224
2021-04-01,38251.20061495644
2021-04-02,54968.95147105346
2021-04-03,39223.33668121346
2021-04-04,55196.72314245463
2021-04-05,60193.96623402014
2021-04-06,107790.97235982082
2021-04-07,58927.3553815537
2021-04-08,52570.524217849554
2021-04-09,40996.74684261808
2021-04-10,52952.91853803685
2021-04-11,55117.279622249654
2021-04-12,62330.90239991735
2021-04-13,60352.159875666686
2021-04-14,46481.1929993728
2021-04-15,26740.04853400801
2021-04-16,58824.75809726865
2021-04-17,48919.848176294996
2021-04-18,69164.97343682637
2021-04-19,65052.99346838036
2021-04-20,86948.6316872793
2021-04-21,47600.922050548594
2021-04-22,53629.43407349051
2021-04-23,58802.85640700405
2021-04-24,27277.291629712032
2021-04-25,72991.08369503866
2021-04-26,46319.17825995694
2021-04-27,42473.64434623195
2021-04-28,62986.327912551824
2021-04-29,59770.868769586974
2021-04-30,46967.110213491585
2021-05-01,31283.252270527257
2021-05-02,45270.96133039481
2021-05-03,40200.06151139432
2021-05-04,28769.438869243786
2021-05-05,41597.284397045456
