request_date,delivery_date,amount
2021-06-18,2021-06-24,361622.08421162824
2021-04-08,2021-04-17,404943.20818378055
2021-08-02,2021-08-10,372079.3749313439
2021-03-23,2021-03-28,324410.8683704191
2021-07-14,2021-07-19,467167.83305448893
2021-03-02,2021-03-09,280731.9688885999
2021-07-18,2021-07-26,369123.2301230304
2021-02-18,2021-02-27,384645.34262920194
2021-01-21,2021-01-25,310407.1921732673
2021-08-12,2021-08-21,366174.22830054327
2021-11-02,2021-11-09,391623.2685507731
2021-07-13,2021-07-21,345458.2161390513
2021-06-01,2021-06-10,360467.175317622
2021-10-20,2021-10-31,336289.0502818366
2021-07-21,2021-07-29,381876.17957110034
2021-10-06,2021-10-11,314261.8504829489
2021-11-15,2021-11-22,308806.6478588278
2021-09-05,2021-09-14,330698.694265319
2021-12-26,2022-01-04,407311.3676167535
2021-01-16,2021-01-25,214247.55937424488
2021-04-20,2021-04-26,269445.2778637154
2021-01-22,2021-01-27,479246.85314207803
2021-02-02,2021-02-11,347470.77377278876
2021-11-26,2021-12-01,302533.4097257286
2021-08-23,2021-09-01,381700.4232063111
2021-03-31,2021-04-09,277635.5674830633
2021-06-03,2021-06-10,190836.06099482052
2021-06-30,2021-07-07,352714.6964695578
2021-08-10,2021-08-18,281208.5043011291
2021-08-04,2021-08-10,336022.8514088414
2021-01-05,2021-01-10,351041.68228418275
2021-04-29,2021-05-06,338705.4533610672
2021-06-14,2021-06-22,216774.79936204778
2021-06-21,2021-07-01,331075.5096480785
2021-12-01,2021-12-07,358629.8535678753
2021-12-13,2021-12-23,237124.0787089357
2021-12-17,2021-12-22,229278.15299078176
2021-10-17,2021-10-22,258928.96346443848
2021-11-28,2021-12-05,378532.9798112182
2021-06-10,2021-06-16,197717.59182534326
2021-02-22,2021-02-27,384000.6974037471
2021-11-30,2021-12-11,355168.6944729242
2021-02-03,2021-02-10,312383.0537738918
2021-04-13,2021-04-25,231816.99643375044
2021-06-07,2021-06-13,276881.9915723157
2021-12-03,2021-12-07,380847.56715868326
2021-11-29,2021-12-09,412123.5063860729
2021-03-29,2021-04-04,261409.7021051771
2021-01-28,2021-02-05,404557.69495151856
2021-07-04,2021-07-09,374522.25600175356
2021-01-13,2021-01-20,328894.06129062787
2021-09-29,2021-10-04,280742.72595198866
2021-10-18,2021-10-25,291048.90802077635
2021-04-09,2021-04-16,449418.2981764818
2021-04-14,2021-04-22,341098.18303366995
2021-05-08,2021-05-17,416941.3633993643
2021-05-19,2021-05-27,345255.5746514472
2021-07-26,2021-08-03,299525.71274023474
2021-10-24,2021-10-31,367817.7882031555
2021-01-14,2021-01-21,471478.60787775513
