date,amount_in_stock
2021-01-01,647479.2516513831
2021-01-02,611270.6151648902
2021-01-03,533486.4423972561
2021-01-04,457004.6287930397
2021-01-05,404698.75220385677
2021-01-06,347600.1878352536
2021-01-07,306034.5007738682
2021-01-08,224039.00015402416
2021-01-09,152997.08548998268
2021-01-10,472251.5969659814
2021-01-11,439516.50062731595
2021-01-12,406661.0550947753
2021-01-13,351240.1210121491
2021-01-14,302356.80974864156
2021-01-15,253988.21197549443
2021-01-16,213762.2171895817
2021-01-17,144758.54995178233
2021-01-18,77379.61626667128
2021-01-19,17935.183637817092
2021-01-20,292387.4407724763
2021-01-21,711069.23392869
2021-01-22,680876.0831249541
2021-01-23,618547.5455593257
2021-01-24,574857.225400806
2021-01-25,710652.8900352417
2021-01-26,662858.7507577738
2021-01-27,1090650.664424961
2021-01-28,1026017.4875181256
2021-01-29,958645.8244156246
2021-01-30,907508.7560427187
2021-01-31,845315.8242601342
2021-02-01,782934.5790253138
2021-02-02,720190.5475699984
2021-02-03,668884.8415464258
2021-02-04,616266.1743539482
2021-02-05,968862.7606461754
2021-02-06,913708.4863026484
2021-02-07,873908.8571263258
2021-02-08,808421.8782180586
2021-02-09,753066.6459285829
2021-02-10,1019238.2219733722
2021-02-11,1313576.0418210896
2021-02-12,1282039.0065675988
2021-02-13,1235591.2856686988
2021-02-14,1171860.2539031678
2021-02-15,1117405.48380467
2021-02-16,1076745.9766019788
2021-02-17,1013251.97847048
2021-02-18,958320.7118255846
2021-02-19,930041.9769480445
2021-02-20,893662.3380808627
2021-02-21,831459.5798203176
2021-02-22,776936.3696853134
2021-02-23,734540.5173158804
2021-02-24,691606.0919001552
2021-02-25,640111.3214238406
2021-02-26,595891.025376767
2021-02-27,934221.6023643162
2021-02-28,877114.1085506395
2021-03-01,848141.8744925237
2021-03-02,805093.1398847107
2021-03-03,763587.6058287523
2021-03-04,715661.57034632
2021-03-05,654382.5748560184
2021-03-06,615338.0743317754
2021-03-07,578195.4376780196
2021-03-08,518810.4274615445
2021-03-09,779919.5351500085
2021-03-10,737043.7148174229
2021-03-11,699745.620588449
2021-03-12,646333.721569387
2021-03-13,600987.7229182889
2021-03-14,547776.3167563358
2021-03-15,506801.91593977675
2021-03-16,450776.2401082926
2021-03-17,407818.3558973169
2021-03-18,342353.36305987765
2021-03-19,313724.5858530795
2021-03-20,262851.4550763895
2021-03-21,215636.33972634672
2021-03-22,170653.85826396095
2021-03-23,97808.41041784057
2021-03-24,61151.12686222342
2021-03-25,25218.502460950258
2021-03-26,-65584.03503789403
2021-03-27,-119734.39702784433
2021-03-28,146950.75604798403
2021-03-29,97153.21441905304
2021-03-30,57310.64009173471
2021-03-31,10662.581871622475
2021-04-01,-27588.618743333966
2021-04-02,-82557.57021438742
2021-04-03,-121780.90689560089
2021-04-04,84432.07206712157
2021-04-05,24238.10583310143
2021-04-06,-83552.86652671939
2021-04-07,-142480.2219082731
2021-04-08,-195050.74612612266
2021-04-09,41588.074514322594
